Rank,Job ID,Title,Level,TF-IDF %,Skill %,Match %,Matched Skills,Missing Skills,Resume
1,NET-F-001,.NET Developer,Fresher,51.7,68.4,58.4,".NET, ASP.NET, ASP.NET MVC, C#, CSS, Entity Framework, Git, HTML, LINQ, MVC, SQL Server, Unit Testing, Visual Studio",".NET Core fundamentals, .NET Framework, Entity Framework basics, JavaScript basics, Unit Testing basics, VB.NET basics",demo_alexa_net_fresher.docx.txt
2,NET-F-008,.NET Developer,Fresher,46.8,75.0,58.1,".NET, ASP.NET MVC, C#, Entity Framework, LINQ, SQL Server",".NET Framework basics, Entity Framework basics",demo_alexa_net_fresher.docx.txt
3,NET-F-005,.NET Developer,Fresher,40.3,81.8,56.9,".NET, ASP.NET, ASP.NET MVC, C#, CSS, Entity Framework, HTML, MVC, SQL Server","Entity Framework basics, JavaScript basics",demo_alexa_net_fresher.docx.txt
4,NET-F-004,.NET Developer,Fresher,34.8,81.8,53.6,".NET, ASP.NET, C#, CSS, Entity Framework, HTML, LINQ, SQL Server, Visual Studio",".NET Framework, ASP.NET basics",demo_alexa_net_fresher.docx.txt
5,NET-F-010,.NET Developer,Fresher,37.2,75.0,52.3,".NET, ASP.NET MVC, C#, Entity Framework, Git, SQL Server",".NET Core basics, Entity Framework basics",demo_alexa_net_fresher.docx.txt
6,NET-F-007,.NET Developer,Fresher,27.7,77.8,47.7,".NET, ASP.NET MVC, C#, CSS, HTML, SQL Server, Visual Studio",".NET Core basics, VB.NET",demo_alexa_net_fresher.docx.txt
7,NET-F-009,.NET Developer,Fresher,21.9,85.7,47.4,".NET, ASP.NET, C#, CSS, HTML, SQL Server",.NET Framework,demo_alexa_net_fresher.docx.txt
8,NET-F-003,.NET Developer,Fresher,30.3,72.7,47.3,".NET, ASP.NET MVC, C#, CSS, Entity Framework, Git, HTML, SQL Server",".NET Core, JavaScript basics, VB.NET basics",demo_alexa_net_fresher.docx.txt
9,NET-F-002,.NET Developer,Fresher,35.7,64.3,47.1,".NET, ASP.NET, ASP.NET MVC, C#, CSS, Entity Framework, HTML, SQL Server, Unit Testing",".NET Framework basics, Entity Framework basics, JavaScript basics, NUnit basics, Razor",demo_alexa_net_fresher.docx.txt
10,NET-F-006,.NET Developer,Fresher,20.2,66.7,38.8,".NET, ASP.NET, C#, Git, SQL Server, Unit Testing",".NET Framework, NUnit basics, Razor",demo_alexa_net_fresher.docx.txt
1,AI015,AI Engineer - Experienced,Senior-Level,48.3,72.4,58.0,"AI, AWS, Azure, CI/CD, Cloud, Deep Learning, Docker, Hadoop, Hugging Face, Keras, Kubernetes, LLMs, ML, MLOps, NLP, PyTorch, Python, SHAP, Scikit-learn, Spark, TensorFlow","C++, Computer Vision, GCP, Java, LIME, R, Reinforcement Learning, Senior-Level",demo_rahul_ai_senior.docx.txt
2,AI020,AI Engineer - Experienced,Senior-Level,45.9,70.0,55.6,"AI, AWS, Azure, CI/CD, Cloud, Deep Learning, Docker, Hadoop, Hugging Face, Keras, Kubernetes, LLMs, ML, MLOps, NLP, PyTorch, Python, SHAP, Scikit-learn, Spark, TensorFlow","C++, Computer Vision, GCP, Java, LIME, ONNX, R, Reinforcement Learning ...",demo_rahul_ai_senior.docx.txt
